ITword,ITcatlog,ITcertainty
.NET,2,1
1XRTT,2,1
2.5G,2,1
2G,2,1
3-D PRINTING,2,1
3.5G,2,1
3D PRINTING,2,1
3D SCANNERS,2,1
3G,2,1
3G NETWORKS,2,1
3GPP,2,1
4G NETWORKS,2,1
4G STANDARD,2,1
5G,2,1
5G NETWORKS,2,1
5S,0,0
ABC,0,0
ABI,0,0
ABM,2,0
AC,0,0
ACCEPTABLE USE POLICY,0,0
ACCEPTANCE CRITERIA,0,0
ACCEPTANCE TESTING,4,0
ACCESS METHOD,2,1
ACCESS POINT,2,1
ACCESSIBILITY,2,0
ACCOUNTABILITY,0,0
ACCOUNTABLE CARE ORGANIZATION,1,0
ACCURACY,0,0
ACO,1,0
ACQUISITION PROCESS,1,0
ACR,4,0
ACTION PLAN,0,0
ACTIVE DIRECTORY,2,0
ACTIVE PROJECTS,0,0
ACTIVEX,2,1
ACTIVITY,0,0
ACTIVITY-BASED COSTING,0,0
ACTUAL COST,0,0
ACTUAL COST OF WORK PERFORMED,0,0
AD,0,1
AD TECH,0,1
ADAPTABILITY,2,0
ADAPTERS,2,1
ADAPTIVE LEARNING,4,0
ADAPTIVE MULTIRATE,2,1
ADAS,4,1
ADC,2,1
ADDITIVE MANUFACTURING,4,1
ADF,2,0
ADM,0,0
ADMS,2,1
ADSI,2,1
ADVANCED ANALYTICS,4,0
ADVANCED DRIVER ASSISTANCE SYSTEMS,4,1
ADVANCED METERING INFRASTRUCTURE,2,1
ADVANCED MOBILE PHONE SERVICE,2,1
ADVANCED TECHNOLOGY,4,0
IT,0,1
ADWARE,2,1
AFFILIATE MARKETING,0,0
AGENCY,1,0
AGENCY HEAD,0,0
AGENCY MANAGEMENT,0,0
AGILE,4,1
AGILE DEVELOPMENT,4,1
AGILE METHODOLOGY,4,0
AGILE SOFTWARE DEVELOPMENT,4,1
AHP,0,0
AI,4,1
AIM,2,0
AIS,2,1
ALGORITHM,4,1
ALIGNMENT,0,0
ALL-IN-ONE,2,0
ALPHA TESTING,4,0
ALTERNATIVE ANALYSIS,0,0
ALTERNATIVE DELIVERY MODELS,0,0
AMD,2,1
AMERICAN NATIONAL STANDARDS INSTITUTE,2,0
AMG,2,0
AMI,3,0
AMIS,2,0
AMO,4,1
AMOLED,2,1
AMPS,2,1
AMR,2,0
ANALOG SIGNALS,2,1
ANALYSIS,4,0
ANALYTIC APPLICATIONS,4,1
ANALYTIC PLATFORM,2,1
ANALYTICS,4,0
ANALYTICS AND BUSINESS INTELLIGENCE,4,1
ANDROID,2,1
ANSI,2,1
AP,2,0
APA,0,0
API,2,1
INFORMATION TECHNOLGOY,0,1
APM,3,0
APP,4,1
APPLET,2,1
APPLIANCE,2,0
APPLIANCE SERVER,2,1
APPLIANCES,2,0
APPLICATION,4,1
APPLICATION ARCHITECTURE,4,0
APPLICATION AREA,4,1
APPLICATION CONTROLS,4,1
APPLICATION DATA MANAGEMENT,3,1
APPLICATION DELIVERY CONTROLLER,2,1
