ITword,ITcatlog,ITcertainty,defn
.NET,2,1,"At its core, .NET represents MicrosoftÇs implementation of the Web services concept, which treats software as a set of services accessible over ubiquitous networks using Web-based standards and protocols, although Microsoft has broadly applied the .NET moniker to several independent technologies and initiatives that have little to do with Web services (for example, .NET Enterprise Servers). As a software infrastructure, .NET consists of two programming models: Çƒ¢	A Web services programming model, which exposes programming interfaces through Internet standards. This loosely coupled model uses HTTP and other Internet protocols as the main underlying transport mechanisms, and also uses XML, SOAP, WSDL and Universal Description, Discovery and Integration. Initially, most of this model will use a request/reply communications style. Çƒ¢	A system programming model designed to supersede MicrosoftÇs COM and the Windows application programming interfaces over time. This model introduces a new set of fundamental classes and a new runtime environment Çthe Common Language Runtime Çproviding an object-oriented class hierarchy structure as part of the application runtime environment. It also provides classes and mechanisms that enable programs to be ÇwrappedÇ as Web services, so it can ease Çbut is not required for ÇWeb services development."
1XRTT,2,1,"A 2.5G transmission technology; an evolution of cdma2000 that adds voice capacity and supports peak downlink data rates of up to 144 Kbps in a single 1.25MHz channel, typically delivering 80 Kbps to 100 Kbps in the field."
2.5G,2,1,"Enhancements that provide packet data capabilities over 2G networks. 2.5G improves the available data rates supported by the air interface, thereby permitting the introduction of new, data-oriented services and applications. The increased data rates rise to a theoretical maximum of 384 Kbps, although in the field available data rates may often be as low as 20 Kbps. General packet radio service (GPRS) is an example of a 2.5G technology."
2G,2,1,"The second generation of wireless networks designed to improve on analog with digital circuit-switched solutions. The three main 2G technology standards are Global System for Mobile Communications (GSM), which is based on European Telecommunications Standards Institute (ETSI) standards, time division multiple access (TDMA) IS-136 and code division multiple access (CDMA). The Japanese personal digital cellular (PDC) standard was similar to IS-136. GSM and IS-136 are TDMA technologies. 2G services typically support data rates of 9.6 Kbps, 14.4 Kbps and up to 64 Kbps in certain IS-95B deployments."
3-D PRINTING,2,1,"Uses machines to make solid objects, layer by layer, from specifications in a digital file. Also known as additive manufacturing."
3.5G,2,1,"A broad term referring to enhancements that provide high-speed data extensions to 3G (wideband code division multiple access [WCDMA]) that go beyond the 384 Kbps downlink and 64 Kbps uplink provided by basic WCDMA. The term 3.5G covers technologies such as High-Speed Downlink Packet Access (HSDPA), High-Speed Uplink Packet Access (HSUPA) and HSPA+."
3D PRINTING,2,1,3D¨Üprinting is an¨Üadditive technique that uses a device to create physical objects from digital models.
3D SCANNERS,2,1,"A three-dimensional scanner is a device that captures data about the shape and appearance of real-world objects to create 3D models of them. 3D scanners for consumer use are low-cost, easy-to-operate devices that provide basic scan, capture and export of 3D images."
3G,2,1,"3G wireless networks support peak data rates of 144 Kbps at mobile user speeds, 384 Kbps at pedestrian user speeds and 2 Mbps in fixed locations (peak speeds), although some initial deployments were configured to support only 64 Kbps. The International Telecommunication Union (ITU) coordinates 3G standards through its International Mobile Telecommunications-2000 (IMT-2000) project and incorporates the key standards bodies, Third-Generation Partnership Project (3GPP) and 3GPP2. See also High-Speed Packet Access (HSPA) and Long Term Evolution (LTE)."
3G NETWORKS,2,1,"Cellular networks based on packet-switched technology with speeds ranging from 144 Kbps for mobile users to more than 2 Mbps for stationary users, enabling users to transmit video, graphics, and other rich media in addition to voice."
3GPP,2,1,"Collaborative project among various standards bodies, such as the American National Standards Institute (ANSI), Telecommunications Industry Association (TIA) and enterprise application integration-41 (EAI-41), under the auspices of the ITU, which is developing global specifications for the evolution of 3G technologies. 3GPP focuses on the evolution of GSM and WCDMA, while 3GPP2 focuses on the evolution of cdma2000."
4G NETWORKS,2,1,Recent wireless communication technology capable of providing between 1 Mbps and 1 Gbps speeds; up to 10 times faster than 3G networks.
